audio,audio_filepath,speaker,transcript
112291944_413411_413412_26524,../Data/audio/car/voices/112291944_413411_413412_26524.ogg,112291944,48-YT-194
1150481435_413529_413530_26156,../Data/audio/car/voices/1150481435_413529_413530_26156.ogg,1150481435,43-VD-111
1150481435_413599_413600_26469,../Data/audio/car/voices/1150481435_413599_413600_26469.ogg,1150481435,08-DM-819
1150481435_413611_413612_26961,../Data/audio/car/voices/1150481435_413611_413612_26961.ogg,1150481435,42-DN-197
1150481435_413716_413719_26252,../Data/audio/car/voices/1150481435_413716_413719_26252.ogg,1150481435,23-VJ-951
1150481435_413734_413735_26258,../Data/audio/car/voices/1150481435_413734_413735_26258.ogg,1150481435,26-NZ-507
1150481435_413774_413775_26693,../Data/audio/car/voices/1150481435_413774_413775_26693.ogg,1150481435,50-LP-701
1150481435_413970_413971_27074,../Data/audio/car/voices/1150481435_413970_413971_27074.ogg,1150481435,31-DS-087
1150481435_413988_413989_26368,../Data/audio/car/voices/1150481435_413988_413989_26368.ogg,1150481435,03-YD-151
910545275_414180_414181_26480,../Data/audio/car/voices/910545275_414180_414181_26480.ogg,910545275,45-XQ-401
910545275_414360_414363_27051,../Data/audio/car/voices/910545275_414360_414363_27051.ogg,910545275,11-SL-342
910545275_414412_414415_26620,../Data/audio/car/voices/910545275_414412_414415_26620.ogg,910545275,43-ZE-516
1150481435_414496_414497_26811,../Data/audio/car/voices/1150481435_414496_414497_26811.ogg,1150481435,24-XU-087
1150481435_414498_414499_26973,../Data/audio/car/voices/1150481435_414498_414499_26973.ogg,1150481435,46-JB-771
1150481435_414536_414539_26611,../Data/audio/car/voices/1150481435_414536_414539_26611.ogg,1150481435,33-CF-276
910545275_414566_414569_26281,../Data/audio/car/voices/910545275_414566_414569_26281.ogg,910545275,18-GN-006
1150481435_414614_414615_27023,../Data/audio/car/voices/1150481435_414614_414615_27023.ogg,1150481435,04-HB-892
910545275_414648_414651_26960,../Data/audio/car/voices/910545275_414648_414651_26960.ogg,910545275,69-WS-422
1150481435_414720_414723_26213,../Data/audio/car/voices/1150481435_414720_414723_26213.ogg,1150481435,01-DD-585
1150481435_414764_414765_26922,../Data/audio/car/voices/1150481435_414764_414765_26922.ogg,1150481435,66-EU-938
910545275_414909_414910_27116,../Data/audio/car/voices/910545275_414909_414910_27116.ogg,910545275,38-XO-072
910545275_414917_414918_26851,../Data/audio/car/voices/910545275_414917_414918_26851.ogg,910545275,53-WX-099
910545275_414939_414940_26963,../Data/audio/car/voices/910545275_414939_414940_26963.ogg,910545275,57-FI-531
910545275_415095_415096_26929,../Data/audio/car/voices/910545275_415095_415096_26929.ogg,910545275,68-IW-655
910545275_415271_415272_26379,../Data/audio/car/voices/910545275_415271_415272_26379.ogg,910545275,08-SE-658
910545275_415401_415402_26833,../Data/audio/car/voices/910545275_415401_415402_26833.ogg,910545275,24-PR-621
910545275_415475_415476_26950,../Data/audio/car/voices/910545275_415475_415476_26950.ogg,910545275,46-NR-668
910545275_415547_415548_26339,../Data/audio/car/voices/910545275_415547_415548_26339.ogg,910545275,72-YF-159
910545275_415599_415600_26699,../Data/audio/car/voices/910545275_415599_415600_26699.ogg,910545275,16-XB-277
910545275_415641_415642_26981,../Data/audio/car/voices/910545275_415641_415642_26981.ogg,910545275,68-LG-783
910545275_415711_415712_26317,../Data/audio/car/voices/910545275_415711_415712_26317.ogg,910545275,03-CM-722
910545275_415827_415828_26608,../Data/audio/car/voices/910545275_415827_415828_26608.ogg,910545275,08-HR-035
1150481435_415883_415884_26165,../Data/audio/car/voices/1150481435_415883_415884_26165.ogg,1150481435,03-UZ-687
1150481435_415911_415912_26565,../Data/audio/car/voices/1150481435_415911_415912_26565.ogg,1150481435,39-TF-368
1150481435_415954_415955_26310,../Data/audio/car/voices/1150481435_415954_415955_26310.ogg,1150481435,62-QW-309
1150481435_415982_415983_26584,../Data/audio/car/voices/1150481435_415982_415983_26584.ogg,1150481435,09-OA-213
1150481435_416062_416063_26200,../Data/audio/car/voices/1150481435_416062_416063_26200.ogg,1150481435,17-MQ-242
1150481435_416102_416103_26941,../Data/audio/car/voices/1150481435_416102_416103_26941.ogg,1150481435,44-OS-339
1150481435_416104_416105_26655,../Data/audio/car/voices/1150481435_416104_416105_26655.ogg,1150481435,37-LJ-698
1150481435_416150_416151_27096,../Data/audio/car/voices/1150481435_416150_416151_27096.ogg,1150481435,63-WZ-512
1150481435_416264_416265_26868,../Data/audio/car/voices/1150481435_416264_416265_26868.ogg,1150481435,34-GC-498
1150481435_416268_416269_26675,../Data/audio/car/voices/1150481435_416268_416269_26675.ogg,1150481435,04-SP-853
1150481435_416456_416457_26518,../Data/audio/car/voices/1150481435_416456_416457_26518.ogg,1150481435,05-NW-931
1150481435_416514_416515_26957,../Data/audio/car/voices/1150481435_416514_416515_26957.ogg,1150481435,57-LV-537
1150481435_416612_416613_26542,../Data/audio/car/voices/1150481435_416612_416613_26542.ogg,1150481435,17-MK-348
1150481435_416616_416617_26985,../Data/audio/car/voices/1150481435_416616_416617_26985.ogg,1150481435,63-JP-832
1150481435_416799_416800_26657,../Data/audio/car/voices/1150481435_416799_416800_26657.ogg,1150481435,06-QG-681
575298922_416926_416927_26632,../Data/audio/car/voices/575298922_416926_416927_26632.ogg,575298922,27-IC-989
575298922_416938_416939_26706,../Data/audio/car/voices/575298922_416938_416939_26706.ogg,575298922,61-JW-891
640339050_417172_417173_26738,../Data/audio/car/voices/640339050_417172_417173_26738.ogg,640339050,59-BF-166
575298922_417212_417213_26496,../Data/audio/car/voices/575298922_417212_417213_26496.ogg,575298922,23-QN-769
575298922_417274_417275_27141,../Data/audio/car/voices/575298922_417274_417275_27141.ogg,575298922,56-AA-658
575298922_417404_417405_26819,../Data/audio/car/voices/575298922_417404_417405_26819.ogg,575298922,53-XM-008
860296669_417483_417484_26702,../Data/audio/car/voices/860296669_417483_417484_26702.ogg,860296669,90-OB-794
954206432_417583_417584_26299,../Data/audio/car/voices/954206432_417583_417584_26299.ogg,954206432,25-KV-159
954206432_417589_417590_26732,../Data/audio/car/voices/954206432_417589_417590_26732.ogg,954206432,11-EX-405
5440156582_417722_417723_26433,../Data/audio/car/voices/5440156582_417722_417723_26433.ogg,5440156582,10-MA-956
954206432_417766_417767_26890,../Data/audio/car/voices/954206432_417766_417767_26890.ogg,954206432,43-SR-341
860296669_417938_417942_26881,../Data/audio/car/voices/860296669_417938_417942_26881.ogg,860296669,26-YD-464
575298922_418270_418271_26809,../Data/audio/car/voices/575298922_418270_418271_26809.ogg,575298922,34-ZD-538
575298922_418314_418315_27052,../Data/audio/car/voices/575298922_418314_418315_27052.ogg,575298922,68-NO-441
575298922_418328_418329_26934,../Data/audio/car/voices/575298922_418328_418329_26934.ogg,575298922,51-WE-121
575298922_418338_418339_26207,../Data/audio/car/voices/575298922_418338_418339_26207.ogg,575298922,58-AX-507
575298922_418342_418343_26356,../Data/audio/car/voices/575298922_418342_418343_26356.ogg,575298922,21-SY-337
