audio,audio_filepath,speaker,transcript
426881765_413466_413467_31837,../Data/audio/dat/voices/426881765_413466_413467_31837.ogg,426881765,iyirmi doqquzun dekabr ayı
1150481435_413490_413491_29495,../Data/audio/dat/voices/1150481435_413490_413491_29495.ogg,1150481435,24.07.1970
1150481435_413508_413509_28651,../Data/audio/dat/voices/1150481435_413508_413509_28651.ogg,1150481435,noyabrın 12-i 1978-ci il
1150481435_413523_413524_29743,../Data/audio/dat/voices/1150481435_413523_413524_29743.ogg,1150481435,08.07.1927
1150481435_413527_413528_30169,../Data/audio/dat/voices/1150481435_413527_413528_30169.ogg,1150481435,iyirmi altı fevral 1986
1150481435_413541_413542_27311,../Data/audio/dat/voices/1150481435_413541_413542_27311.ogg,1150481435,1985-ci ilin dekabrın 18-i
1150481435_413563_413564_29633,../Data/audio/dat/voices/1150481435_413563_413564_29633.ogg,1150481435,29.03.1909
1150481435_413595_413596_28992,../Data/audio/dat/voices/1150481435_413595_413596_28992.ogg,1150481435,iyunun 28-i 1976-cı il
1150481435_413597_413598_29172,../Data/audio/dat/voices/1150481435_413597_413598_29172.ogg,1150481435,27.09.1904
1150481435_413637_413638_28166,../Data/audio/dat/voices/1150481435_413637_413638_28166.ogg,1150481435,fevralın 21-i 1965-ci il
1150481435_413649_413650_28168,../Data/audio/dat/voices/1150481435_413649_413650_28168.ogg,1150481435,iyunun 23-ü 1962-ci il
1150481435_413687_413688_31016,../Data/audio/dat/voices/1150481435_413687_413688_31016.ogg,1150481435,on səkkiz may 1944
1150481435_413772_413773_28772,../Data/audio/dat/voices/1150481435_413772_413773_28772.ogg,1150481435,mayın 21-i 1984-cü il
1150481435_413780_413781_29470,../Data/audio/dat/voices/1150481435_413780_413781_29470.ogg,1150481435,09.02.1903
1150481435_413784_413785_32087,../Data/audio/dat/voices/1150481435_413784_413785_32087.ogg,1150481435,yetmiş üçün may ayı
1150481435_413801_413802_27259,../Data/audio/dat/voices/1150481435_413801_413802_27259.ogg,1150481435,1999-cu ilin avqustun 3-ü
1150481435_413810_413811_30970,../Data/audio/dat/voices/1150481435_413810_413811_30970.ogg,1150481435,iyirmi oktyabr 1975
1150481435_413834_413835_28251,../Data/audio/dat/voices/1150481435_413834_413835_28251.ogg,1150481435,iyunun 13-ü 1932-ci il
1150481435_413842_413843_30507,../Data/audio/dat/voices/1150481435_413842_413843_30507.ogg,1150481435,altı avqust 1946
1150481435_413894_413895_27698,../Data/audio/dat/voices/1150481435_413894_413895_27698.ogg,1150481435,1993-cü ilin noyabrın 4-ü
1150481435_413918_413919_30204,../Data/audio/dat/voices/1150481435_413918_413919_30204.ogg,1150481435,doqquz mart 1977
1150481435_413932_413933_31906,../Data/audio/dat/voices/1150481435_413932_413933_31906.ogg,1150481435,doxsan dördün oktyabr ayı
1150481435_413974_413975_29186,../Data/audio/dat/voices/1150481435_413974_413975_29186.ogg,1150481435,04.01.1942
1150481435_414000_414001_28759,../Data/audio/dat/voices/1150481435_414000_414001_28759.ogg,1150481435,yanvarın 10-u 2015-ci il
1150481435_414014_414015_27867,../Data/audio/dat/voices/1150481435_414014_414015_27867.ogg,1150481435,1972-ci ilin martın 14-ü
910545275_414052_414053_28924,../Data/audio/dat/voices/910545275_414052_414053_28924.ogg,910545275,mayın 26-ı 1917-ci il
910545275_414062_414063_28429,../Data/audio/dat/voices/910545275_414062_414063_28429.ogg,910545275,aprelin 19-u 1953-cü il
910545275_414100_414103_28340,../Data/audio/dat/voices/910545275_414100_414103_28340.ogg,910545275,yanvarın 21-i 1939-cu il
1150481435_414102_414105_30409,../Data/audio/dat/voices/1150481435_414102_414105_30409.ogg,1150481435,otuz fevral 1981
1150481435_414128_414130_30508,../Data/audio/dat/voices/1150481435_414128_414130_30508.ogg,1150481435,on beş iyul 1918
910545275_414148_414149_29753,../Data/audio/dat/voices/910545275_414148_414149_29753.ogg,910545275,11.06.1951
1150481435_414146_414151_29020,../Data/audio/dat/voices/1150481435_414146_414151_29020.ogg,1150481435,aprelin 11-i 1924-cü il
1150481435_414152_414155_31144,../Data/audio/dat/voices/1150481435_414152_414155_31144.ogg,1150481435,iyirmi yeddi mart 1928
910545275_414159_414161_27396,../Data/audio/dat/voices/910545275_414159_414161_27396.ogg,910545275,1977-ci ilin iyunun 27-i
1150481435_414160_414163_27186,../Data/audio/dat/voices/1150481435_414160_414163_27186.ogg,1150481435,1996-cı ilin iyunun 23-ü
910545275_414182_414183_27837,../Data/audio/dat/voices/910545275_414182_414183_27837.ogg,910545275,1977-ci ilin aprelin 2-i
1150481435_414192_414195_29227,../Data/audio/dat/voices/1150481435_414192_414195_29227.ogg,1150481435,05.02.1983
910545275_414194_414197_29155,../Data/audio/dat/voices/910545275_414194_414197_29155.ogg,910545275,aprelin 9-u 1923-cü il
1150481435_414200_414205_29986,../Data/audio/dat/voices/1150481435_414200_414205_29986.ogg,1150481435,02.10.1991
910545275_414204_414207_30273,../Data/audio/dat/voices/910545275_414204_414207_30273.ogg,910545275,bir mart 2016
910545275_414216_414217_30533,../Data/audio/dat/voices/910545275_414216_414217_30533.ogg,910545275,doqquz avqust 1908
910545275_414224_414225_29658,../Data/audio/dat/voices/910545275_414224_414225_29658.ogg,910545275,19.07.1999
1150481435_414234_414239_27337,../Data/audio/dat/voices/1150481435_414234_414239_27337.ogg,1150481435,1938-ci ilin mayın 24-ü
1150481435_414240_414244_30538,../Data/audio/dat/voices/1150481435_414240_414244_30538.ogg,1150481435,iyirmi doqquz fevral 1980
910545275_414250_414251_30836,../Data/audio/dat/voices/910545275_414250_414251_30836.ogg,910545275,dörd iyun 1918
910545275_414260_414263_27428,../Data/audio/dat/voices/910545275_414260_414263_27428.ogg,910545275,1956-cı ilin mayın 16-i
910545275_414264_414265_27457,../Data/audio/dat/voices/910545275_414264_414265_27457.ogg,910545275,1949-cu ilin avqustun 1-i
