audio,audio_filepath,speaker,transcript
1216501094_413438_413439_37662,../Data/audio/mon/voices/1216501094_413438_413439_37662.ogg,1216501094,6 nöqtə 34 manat
1150481435_413486_413487_39373,../Data/audio/mon/voices/1150481435_413486_413487_39373.ogg,1150481435,2 yevro 71 sent
1150481435_413494_413495_36644,../Data/audio/mon/voices/1150481435_413494_413495_36644.ogg,1150481435,1 manat 53 qəpik
1150481435_413537_413538_37841,../Data/audio/mon/voices/1150481435_413537_413538_37841.ogg,1150481435,7 nöqtə 51 manat
1150481435_413549_413550_38170,../Data/audio/mon/voices/1150481435_413549_413550_38170.ogg,1150481435,5 tam yüzdə 29 manat
1150481435_413575_413576_37767,../Data/audio/mon/voices/1150481435_413575_413576_37767.ogg,1150481435,7 nöqtə 33 manat
1150481435_413577_413578_38693,../Data/audio/mon/voices/1150481435_413577_413578_38693.ogg,1150481435,371 tam yüzdə 13 manat
1150481435_413587_413588_38969,../Data/audio/mon/voices/1150481435_413587_413588_38969.ogg,1150481435,1414 tam yüzdə 98 manat
1150481435_413629_413630_36160,../Data/audio/mon/voices/1150481435_413629_413630_36160.ogg,1150481435,10 dollar 42 sent
1150481435_413685_413686_39037,../Data/audio/mon/voices/1150481435_413685_413686_39037.ogg,1150481435,4819 tam yüzdə 61 manat
1150481435_413699_413700_36360,../Data/audio/mon/voices/1150481435_413699_413700_36360.ogg,1150481435,9 dollar 76 sent
1150481435_413708_413711_36193,../Data/audio/mon/voices/1150481435_413708_413711_36193.ogg,1150481435,2 dollar 66 sent
1150481435_413724_413725_39168,../Data/audio/mon/voices/1150481435_413724_413725_39168.ogg,1150481435,10 yevro 85 sent
1150481435_413740_413741_37901,../Data/audio/mon/voices/1150481435_413740_413741_37901.ogg,1150481435,10 nöqtə 6 manat
1150481435_413766_413767_38453,../Data/audio/mon/voices/1150481435_413766_413767_38453.ogg,1150481435,18 tam yüzdə 70 manat
1150481435_413803_413806_37923,../Data/audio/mon/voices/1150481435_413803_413806_37923.ogg,1150481435,3 tam yüzdə 11 azn
1150481435_413812_413813_36217,../Data/audio/mon/voices/1150481435_413812_413813_36217.ogg,1150481435,3 dollar 77 sent
1150481435_413824_413825_38596,../Data/audio/mon/voices/1150481435_413824_413825_38596.ogg,1150481435,96 tam yüzdə 45 manat
1150481435_413832_413833_37141,../Data/audio/mon/voices/1150481435_413832_413833_37141.ogg,1150481435,231 manat 93 qəpik
1150481435_413836_413837_36989,../Data/audio/mon/voices/1150481435_413836_413837_36989.ogg,1150481435,650 manat 38 qəpik
1150481435_413854_413855_37685,../Data/audio/mon/voices/1150481435_413854_413855_37685.ogg,1150481435,6 nöqtə 25 manat
1150481435_413920_413921_39286,../Data/audio/mon/voices/1150481435_413920_413921_39286.ogg,1150481435,3 yevro 50 sent
1150481435_413958_413959_36473,../Data/audio/mon/voices/1150481435_413958_413959_36473.ogg,1150481435,8 manat 4 qəpik
1150481435_414016_414017_38166,../Data/audio/mon/voices/1150481435_414016_414017_38166.ogg,1150481435,6 tam yüzdə 51 manat
910545275_414040_414041_39067,../Data/audio/mon/voices/910545275_414040_414041_39067.ogg,910545275,1681 tam yüzdə 53 manat
910545275_414056_414057_37768,../Data/audio/mon/voices/910545275_414056_414057_37768.ogg,910545275,3 nöqtə 26 manat
910545275_414094_414097_36443,../Data/audio/mon/voices/910545275_414094_414097_36443.ogg,910545275,5 manat 16 qəpik
910545275_414111_414113_37402,../Data/audio/mon/voices/910545275_414111_414113_37402.ogg,910545275,1431 manat 49 qəpik
910545275_414138_414140_36603,../Data/audio/mon/voices/910545275_414138_414140_36603.ogg,910545275,8 manat 3 qəpik
1150481435_414142_414144_39408,../Data/audio/mon/voices/1150481435_414142_414144_39408.ogg,1150481435,10 yevro 69 sent
910545275_414166_414167_37054,../Data/audio/mon/voices/910545275_414166_414167_37054.ogg,910545275,314 manat 37 qəpik
910545275_414191_414193_38852,../Data/audio/mon/voices/910545275_414191_414193_38852.ogg,910545275,926 tam yüzdə 63 manat
910545275_414226_414229_38305,../Data/audio/mon/voices/910545275_414226_414229_38305.ogg,910545275,3 tam yüzdə 82 manat
910545275_414256_414257_38836,../Data/audio/mon/voices/910545275_414256_414257_38836.ogg,910545275,531 tam yüzdə 86 manat
910545275_414258_414259_38509,../Data/audio/mon/voices/910545275_414258_414259_38509.ogg,910545275,39 tam yüzdə 61 manat
1150481435_414278_414280_36477,../Data/audio/mon/voices/1150481435_414278_414280_36477.ogg,1150481435,6 manat 3 qəpik
910545275_414281_414283_36204,../Data/audio/mon/voices/910545275_414281_414283_36204.ogg,910545275,8 dollar 97 sent
1150481435_414286_414289_38610,../Data/audio/mon/voices/1150481435_414286_414289_38610.ogg,1150481435,100 tam yüzdə 99 manat
910545275_414302_414303_38122,../Data/audio/mon/voices/910545275_414302_414303_38122.ogg,910545275,10 tam yüzdə 92 azn
910545275_414346_414347_36518,../Data/audio/mon/voices/910545275_414346_414347_36518.ogg,910545275,4 manat 9 qəpik
910545275_414370_414372_36770,../Data/audio/mon/voices/910545275_414370_414372_36770.ogg,910545275,17 manat 72 qəpik
1150481435_414414_414417_36514,../Data/audio/mon/voices/1150481435_414414_414417_36514.ogg,1150481435,4 manat 29 qəpik
1150481435_414418_414421_38872,../Data/audio/mon/voices/1150481435_414418_414421_38872.ogg,1150481435,859 tam yüzdə 11 manat
1150481435_414436_414437_36900,../Data/audio/mon/voices/1150481435_414436_414437_36900.ogg,1150481435,75 manat 85 qəpik
1150481435_414440_414441_36803,../Data/audio/mon/voices/1150481435_414440_414441_36803.ogg,1150481435,75 manat 65 qəpik
1150481435_414587_414591_37775,../Data/audio/mon/voices/1150481435_414587_414591_37775.ogg,1150481435,3 nöqtə 97 manat
910545275_414590_414593_37213,../Data/audio/mon/voices/910545275_414590_414593_37213.ogg,910545275,2193 manat 39 qəpik
1150481435_414604_414605_37669,../Data/audio/mon/voices/1150481435_414604_414605_37669.ogg,1150481435,3 nöqtə 63 manat
1150481435_414610_414612_36384,../Data/audio/mon/voices/1150481435_414610_414612_36384.ogg,1150481435,10 dollar 97 sent
910545275_414620_414623_39115,../Data/audio/mon/voices/910545275_414620_414623_39115.ogg,910545275,2718 tam yüzdə 22 manat
1150481435_414668_414669_39226,../Data/audio/mon/voices/1150481435_414668_414669_39226.ogg,1150481435,9 yevro 76 sent
1150481435_414684_414687_38364,../Data/audio/mon/voices/1150481435_414684_414687_38364.ogg,1150481435,7 tam yüzdə 19 manat
910545275_414698_414701_37058,../Data/audio/mon/voices/910545275_414698_414701_37058.ogg,910545275,562 manat 14 qəpik
910545275_414726_414727_36662,../Data/audio/mon/voices/910545275_414726_414727_36662.ogg,910545275,62 manat 25 qəpik
910545275_414728_414731_38209,../Data/audio/mon/voices/910545275_414728_414731_38209.ogg,910545275,9 tam yüzdə 96 manat
1150481435_414730_414733_37352,../Data/audio/mon/voices/1150481435_414730_414733_37352.ogg,1150481435,6987 manat 10 qəpik
1150481435_414736_414741_38845,../Data/audio/mon/voices/1150481435_414736_414741_38845.ogg,1150481435,596 tam yüzdə 72 manat
910545275_414810_414811_38369,../Data/audio/mon/voices/910545275_414810_414811_38369.ogg,910545275,10 tam yüzdə 97 manat
910545275_414842_414843_37639,../Data/audio/mon/voices/910545275_414842_414843_37639.ogg,910545275,7 nöqtə 24 azn
910545275_414885_414886_36612,../Data/audio/mon/voices/910545275_414885_414886_36612.ogg,910545275,6 manat 79 qəpik
910545275_414907_414908_37627,../Data/audio/mon/voices/910545275_414907_414908_37627.ogg,910545275,4 nöqtə 40 azn
910545275_414919_414920_38946,../Data/audio/mon/voices/910545275_414919_414920_38946.ogg,910545275,2812 tam yüzdə 58 manat
910545275_414929_414930_37673,../Data/audio/mon/voices/910545275_414929_414930_37673.ogg,910545275,3 nöqtə 12 manat
910545275_414933_414934_37214,../Data/audio/mon/voices/910545275_414933_414934_37214.ogg,910545275,9776 manat 10 qəpik
910545275_414935_414936_39083,../Data/audio/mon/voices/910545275_414935_414936_39083.ogg,910545275,4186 tam yüzdə 95 manat
910545275_414961_414962_36711,../Data/audio/mon/voices/910545275_414961_414962_36711.ogg,910545275,66 manat 75 qəpik
910545275_415089_415090_37251,../Data/audio/mon/voices/910545275_415089_415090_37251.ogg,910545275,6786 manat 9 qəpik
910545275_415119_415120_38434,../Data/audio/mon/voices/910545275_415119_415120_38434.ogg,910545275,80 tam yüzdə 35 manat
910545275_415129_415130_38731,../Data/audio/mon/voices/910545275_415129_415130_38731.ogg,910545275,988 tam yüzdə 99 manat
910545275_415191_415192_37948,../Data/audio/mon/voices/910545275_415191_415192_37948.ogg,910545275,8 tam yüzdə 45 azn
910545275_415237_415238_38779,../Data/audio/mon/voices/910545275_415237_415238_38779.ogg,910545275,384 tam yüzdə 69 manat
910545275_415267_415268_37142,../Data/audio/mon/voices/910545275_415267_415268_37142.ogg,910545275,854 manat 64 qəpik
910545275_415279_415280_38826,../Data/audio/mon/voices/910545275_415279_415280_38826.ogg,910545275,259 tam yüzdə 14 manat
910545275_415283_415284_37973,../Data/audio/mon/voices/910545275_415283_415284_37973.ogg,910545275,6 tam yüzdə 90 azn
910545275_415373_415374_37231,../Data/audio/mon/voices/910545275_415373_415374_37231.ogg,910545275,1625 manat 93 qəpik
910545275_415407_415408_37222,../Data/audio/mon/voices/910545275_415407_415408_37222.ogg,910545275,6464 manat 52 qəpik
910545275_415425_415426_36264,../Data/audio/mon/voices/910545275_415425_415426_36264.ogg,910545275,2 dollar 78 sent
910545275_415427_415428_37453,../Data/audio/mon/voices/910545275_415427_415428_37453.ogg,910545275,6 nöqtə 9 azn
910545275_415443_415444_38173,../Data/audio/mon/voices/910545275_415443_415444_38173.ogg,910545275,10 tam onda 4 manat
910545275_415445_415446_38898,../Data/audio/mon/voices/910545275_415445_415446_38898.ogg,910545275,995 tam yüzdə 90 manat
910545275_415465_415466_38417,../Data/audio/mon/voices/910545275_415465_415466_38417.ogg,910545275,12 tam onda 6 manat
910545275_415495_415496_36500,../Data/audio/mon/voices/910545275_415495_415496_36500.ogg,910545275,5 manat 79 qəpik
910545275_415509_415510_38645,../Data/audio/mon/voices/910545275_415509_415510_38645.ogg,910545275,76 tam yüzdə 10 manat
910545275_415533_415534_36486,../Data/audio/mon/voices/910545275_415533_415534_36486.ogg,910545275,7 manat 63 qəpik
910545275_415539_415540_38935,../Data/audio/mon/voices/910545275_415539_415540_38935.ogg,910545275,2809 tam yüzdə 80 manat
910545275_415545_415546_36947,../Data/audio/mon/voices/910545275_415545_415546_36947.ogg,910545275,311 manat 45 qəpik
910545275_415653_415654_36242,../Data/audio/mon/voices/910545275_415653_415654_36242.ogg,910545275,9 dollar 48 sent
910545275_415657_415658_37946,../Data/audio/mon/voices/910545275_415657_415658_37946.ogg,910545275,4 tam onda 5 azn
910545275_415659_415660_36396,../Data/audio/mon/voices/910545275_415659_415660_36396.ogg,910545275,4 dollar 37 sent
910545275_415669_415670_37045,../Data/audio/mon/voices/910545275_415669_415670_37045.ogg,910545275,549 manat 20 qəpik
910545275_415753_415754_37778,../Data/audio/mon/voices/910545275_415753_415754_37778.ogg,910545275,1 nöqtə 34 manat
910545275_415769_415770_36349,../Data/audio/mon/voices/910545275_415769_415770_36349.ogg,910545275,1 dollar 37 sent
910545275_415771_415772_36569,../Data/audio/mon/voices/910545275_415771_415772_36569.ogg,910545275,10 manat 89 qəpik
910545275_415851_415852_36913,../Data/audio/mon/voices/910545275_415851_415852_36913.ogg,910545275,626 manat 26 qəpik
1150481435_415949_415950_39111,../Data/audio/mon/voices/1150481435_415949_415950_39111.ogg,1150481435,2466 tam yüzdə 55 manat
1150481435_415966_415967_37800,../Data/audio/mon/voices/1150481435_415966_415967_37800.ogg,1150481435,8 nöqtə 48 manat
1150481435_416034_416035_38339,../Data/audio/mon/voices/1150481435_416034_416035_38339.ogg,1150481435,2 tam yüzdə 59 manat
1150481435_416090_416091_39287,../Data/audio/mon/voices/1150481435_416090_416091_39287.ogg,1150481435,7 yevro 1 sent
1150481435_416108_416109_37903,../Data/audio/mon/voices/1150481435_416108_416109_37903.ogg,1150481435,7 nöqtə 22 manat
1150481435_416190_416191_39383,../Data/audio/mon/voices/1150481435_416190_416191_39383.ogg,1150481435,10 yevro 68 sent
1150481435_416222_416223_36925,../Data/audio/mon/voices/1150481435_416222_416223_36925.ogg,1150481435,671 manat 60 qəpik
1150481435_416368_416369_36532,../Data/audio/mon/voices/1150481435_416368_416369_36532.ogg,1150481435,4 manat 8 qəpik
1150481435_416376_416377_37995,../Data/audio/mon/voices/1150481435_416376_416377_37995.ogg,1150481435,10 tam yüzdə 59 azn
1150481435_416380_416381_37766,../Data/audio/mon/voices/1150481435_416380_416381_37766.ogg,1150481435,8 nöqtə 6 manat
1150481435_416386_416387_38309,../Data/audio/mon/voices/1150481435_416386_416387_38309.ogg,1150481435,1 tam yüzdə 57 manat
1150481435_416394_416395_38139,../Data/audio/mon/voices/1150481435_416394_416395_38139.ogg,1150481435,10 tam yüzdə 94 azn
1150481435_416398_416399_36945,../Data/audio/mon/voices/1150481435_416398_416399_36945.ogg,1150481435,210 manat 53 qəpik
1150481435_416432_416433_38883,../Data/audio/mon/voices/1150481435_416432_416433_38883.ogg,1150481435,104 tam yüzdə 26 manat
1150481435_416440_416441_38556,../Data/audio/mon/voices/1150481435_416440_416441_38556.ogg,1150481435,53 tam yüzdə 73 manat
1150481435_416476_416477_38577,../Data/audio/mon/voices/1150481435_416476_416477_38577.ogg,1150481435,68 tam yüzdə 20 manat
1150481435_416478_416479_38747,../Data/audio/mon/voices/1150481435_416478_416479_38747.ogg,1150481435,332 tam yüzdə 70 manat
1150481435_416482_416483_39187,../Data/audio/mon/voices/1150481435_416482_416483_39187.ogg,1150481435,4 yevro 25 sent
1150481435_416520_416521_38072,../Data/audio/mon/voices/1150481435_416520_416521_38072.ogg,1150481435,5 tam yüzdə 65 azn
1150481435_416592_416593_37451,../Data/audio/mon/voices/1150481435_416592_416593_37451.ogg,1150481435,5 nöqtə 82 azn
1150481435_416632_416633_38197,../Data/audio/mon/voices/1150481435_416632_416633_38197.ogg,1150481435,8 tam yüzdə 15 manat
1150481435_416735_416736_37969,../Data/audio/mon/voices/1150481435_416735_416736_37969.ogg,1150481435,10 tam yüzdə 60 azn
1150481435_416743_416744_39141,../Data/audio/mon/voices/1150481435_416743_416744_39141.ogg,1150481435,3246 tam yüzdə 70 manat
1150481435_416745_416746_37929,../Data/audio/mon/voices/1150481435_416745_416746_37929.ogg,1150481435,4 tam yüzdə 17 azn
1150481435_416765_416766_38194,../Data/audio/mon/voices/1150481435_416765_416766_38194.ogg,1150481435,6 tam yüzdə 85 manat
1150481435_416793_416794_39140,../Data/audio/mon/voices/1150481435_416793_416794_39140.ogg,1150481435,5769 tam yüzdə 96 manat
1150481435_416821_416822_37201,../Data/audio/mon/voices/1150481435_416821_416822_37201.ogg,1150481435,3757 manat 29 qəpik
575298922_416934_416935_38689,../Data/audio/mon/voices/575298922_416934_416935_38689.ogg,575298922,734 tam yüzdə 49 manat
575298922_416964_416965_38334,../Data/audio/mon/voices/575298922_416964_416965_38334.ogg,575298922,3 tam yüzdə 37 manat
575298922_416970_416971_36723,../Data/audio/mon/voices/575298922_416970_416971_36723.ogg,575298922,70 manat 26 qəpik
640339050_417034_417035_38159,../Data/audio/mon/voices/640339050_417034_417035_38159.ogg,640339050,6 tam yüzdə 68 azn
640339050_417038_417039_38314,../Data/audio/mon/voices/640339050_417038_417039_38314.ogg,640339050,9 tam onda 3 manat
640339050_417040_417041_36992,../Data/audio/mon/voices/640339050_417040_417041_36992.ogg,640339050,767 manat 19 qəpik
640339050_417074_417075_37168,../Data/audio/mon/voices/640339050_417074_417075_37168.ogg,640339050,8066 manat 7 qəpik
640339050_417088_417089_36367,../Data/audio/mon/voices/640339050_417088_417089_36367.ogg,640339050,8 dollar 9 sent
