audio,audio_filepath,speaker,transcript
1150481435_413673_413674_39430,../Data/audio/tim/voices/1150481435_413673_413674_39430.ogg,1150481435,12-ə 5 dəqiqə işləmiş
1150481435_414006_414007_39442,../Data/audio/tim/voices/1150481435_414006_414007_39442.ogg,1150481435,5-ə 15 dəqiqə işləmiş
1150481435_414700_414702_39551,../Data/audio/tim/voices/1150481435_414700_414702_39551.ogg,1150481435,4-ə işləmiş 15 dəqiqə
910545275_415817_415818_39562,../Data/audio/tim/voices/910545275_415817_415818_39562.ogg,910545275,7-ə işləmiş 15 dəqiqə
1150481435_416110_416111_39477,../Data/audio/tim/voices/1150481435_416110_416111_39477.ogg,1150481435,4-ə işləmiş
1150481435_416729_416730_39509,../Data/audio/tim/voices/1150481435_416729_416730_39509.ogg,1150481435,6-a qalmış 15 dəqiqə
640339050_417062_417063_39566,../Data/audio/tim/voices/640339050_417062_417063_39566.ogg,640339050,12-ə işləmiş 5 dəqiqə
5440156582_417660_417662_39446,../Data/audio/tim/voices/5440156582_417660_417662_39446.ogg,5440156582,5-ə 5 dəqiqə işləmiş
954206432_417776_417777_39492,../Data/audio/tim/voices/954206432_417776_417777_39492.ogg,954206432,11-ə qalmış 15 dəqiqə
954206432_417848_417849_39600,../Data/audio/tim/voices/954206432_417848_417849_39600.ogg,954206432,12-nin yarısı
5028632961_419127_419128_39561,../Data/audio/tim/voices/5028632961_419127_419128_39561.ogg,5028632961,12-ə işləmiş 20 dəqiqə
5028632961_419137_419138_39445,../Data/audio/tim/voices/5028632961_419137_419138_39445.ogg,5028632961,10-a 25 dəqiqə işləmiş
5028632961_419397_419398_39565,../Data/audio/tim/voices/5028632961_419397_419398_39565.ogg,5028632961,8-ə işləmiş 5 dəqiqə
5028632961_419401_419402_39513,../Data/audio/tim/voices/5028632961_419401_419402_39513.ogg,5028632961,2-ə qalmış 15 dəqiqə
5028632961_419497_419498_39489,../Data/audio/tim/voices/5028632961_419497_419498_39489.ogg,5028632961,7-ə qalmış 15 dəqiqə
5028632961_419782_419783_39479,../Data/audio/tim/voices/5028632961_419782_419783_39479.ogg,5028632961,9-a işləmiş
705098248_420031_420033_39520,../Data/audio/tim/voices/705098248_420031_420033_39520.ogg,705098248,11-ə qalmış 5 dəqiqə
705098248_420791_420794_39487,../Data/audio/tim/voices/705098248_420791_420794_39487.ogg,705098248,4-ə qalmış
954206432_420877_420880_39555,../Data/audio/tim/voices/954206432_420877_420880_39555.ogg,954206432,1-ə işləmiş 20 dəqiqə
705098248_421015_421018_39480,../Data/audio/tim/voices/705098248_421015_421018_39480.ogg,705098248,2-ə qalmış
5028632961_421546_421547_39605,../Data/audio/tim/voices/5028632961_421546_421547_39605.ogg,5028632961,1-in yarısı
892642911_423801_423802_39534,../Data/audio/tim/voices/892642911_423801_423802_39534.ogg,892642911,12-ə qalmış 25 dəqiqə
892642911_424021_424022_39510,../Data/audio/tim/voices/892642911_424021_424022_39510.ogg,892642911,1-ə qalmış 20 dəqiqə
954206432_424303_424304_39523,../Data/audio/tim/voices/954206432_424303_424304_39523.ogg,954206432,6-a qalmış 25 dəqiqə
954206432_424379_424380_39582,../Data/audio/tim/voices/954206432_424379_424380_39582.ogg,954206432,10-a işləmiş 20 dəqiqə
954206432_424385_424386_39539,../Data/audio/tim/voices/954206432_424385_424386_39539.ogg,954206432,1-ə qalmış 25 dəqiqə
5196964268_424614_424615_39580,../Data/audio/tim/voices/5196964268_424614_424615_39580.ogg,5196964268,12-ə işləmiş 15 dəqiqə
1268975918_425216_425217_39460,../Data/audio/tim/voices/1268975918_425216_425217_39460.ogg,1268975918,4-ə 25 dəqiqə işləmiş
1268975918_426236_426237_39527,../Data/audio/tim/voices/1268975918_426236_426237_39527.ogg,1268975918,4-ə qalmış 20 dəqiqə
1268975918_426665_426666_39540,../Data/audio/tim/voices/1268975918_426665_426666_39540.ogg,1268975918,5-ə işləmiş 15 dəqiqə
919361428_427163_427164_39429,../Data/audio/tim/voices/919361428_427163_427164_39429.ogg,919361428,3-ə 15 dəqiqə işləmiş
919361428_427737_427738_39453,../Data/audio/tim/voices/919361428_427737_427738_39453.ogg,919361428,9-a 15 dəqiqə işləmiş
1043664892_428463_428464_39575,../Data/audio/tim/voices/1043664892_428463_428464_39575.ogg,1043664892,4-ə işləmiş 20 dəqiqə
1043664892_428489_428490_39545,../Data/audio/tim/voices/1043664892_428489_428490_39545.ogg,1043664892,10-a işləmiş 15 dəqiqə
1043664892_428563_428564_39521,../Data/audio/tim/voices/1043664892_428563_428564_39521.ogg,1043664892,10-a qalmış 5 dəqiqə
1043664892_428585_428586_39469,../Data/audio/tim/voices/1043664892_428585_428586_39469.ogg,1043664892,10-a işləmiş
1043664892_428777_428778_39538,../Data/audio/tim/voices/1043664892_428777_428778_39538.ogg,1043664892,6-a qalmış 10 dəqiqə
1043664892_428919_428920_39433,../Data/audio/tim/voices/1043664892_428919_428920_39433.ogg,1043664892,2-ə 20 dəqiqə işləmiş
919361428_429364_429365_39597,../Data/audio/tim/voices/919361428_429364_429365_39597.ogg,919361428,7 tamam
1043664892_430018_430021_39422,../Data/audio/tim/voices/1043664892_430018_430021_39422.ogg,1043664892,8-ə 10 dəqiqə işləmiş
919361428_430124_430127_39578,../Data/audio/tim/voices/919361428_430124_430127_39578.ogg,919361428,6-a işləmiş 20 dəqiqə
1043664892_430138_430139_39501,../Data/audio/tim/voices/1043664892_430138_430139_39501.ogg,1043664892,8-ə qalmış 10 dəqiqə
763941567_431240_431243_39516,../Data/audio/tim/voices/763941567_431240_431243_39516.ogg,763941567,12-ə qalmış 5 dəqiqə
763941567_431611_431614_39449,../Data/audio/tim/voices/763941567_431611_431614_39449.ogg,763941567,4-ə 15 dəqiqə işləmiş
1269496718_431704_431707_39499,../Data/audio/tim/voices/1269496718_431704_431707_39499.ogg,1269496718,2-ə qalmış 5 dəqiqə
1269496718_431716_431720_39500,../Data/audio/tim/voices/1269496718_431716_431720_39500.ogg,1269496718,10-a qalmış 10 dəqiqə
1269496718_431946_431947_39533,../Data/audio/tim/voices/1269496718_431946_431947_39533.ogg,1269496718,5-ə qalmış 5 dəqiqə
763941567_432255_432256_39595,../Data/audio/tim/voices/763941567_432255_432256_39595.ogg,763941567,9 tamam
1051072005_433449_433458_39577,../Data/audio/tim/voices/1051072005_433449_433458_39577.ogg,1051072005,1-ə işləmiş 5 dəqiqə
1051072005_433771_433774_39458,../Data/audio/tim/voices/1051072005_433771_433774_39458.ogg,1051072005,4-ə 5 dəqiqə işləmiş
912272968_434335_434338_39593,../Data/audio/tim/voices/912272968_434335_434338_39593.ogg,912272968,12 tamam
568204248_434867_434868_39467,../Data/audio/tim/voices/568204248_434867_434868_39467.ogg,568204248,2-ə 25 dəqiqə işləmiş
568204248_434991_434994_39436,../Data/audio/tim/voices/568204248_434991_434994_39436.ogg,568204248,11-ə 20 dəqiqə işləmiş
568204248_435663_435666_39531,../Data/audio/tim/voices/568204248_435663_435666_39531.ogg,568204248,3-ə qalmış 20 dəqiqə
341881303_436072_436082_39515,../Data/audio/tim/voices/341881303_436072_436082_39515.ogg,341881303,12-ə qalmış 15 dəqiqə
619589413_436194_436199_39423,../Data/audio/tim/voices/619589413_436194_436199_39423.ogg,619589413,8-ə 5 dəqiqə işləmiş
1269496718_436932_436937_39585,../Data/audio/tim/voices/1269496718_436932_436937_39585.ogg,1269496718,6-a işləmiş 15 dəqiqə
912272968_437103_437109_39559,../Data/audio/tim/voices/912272968_437103_437109_39559.ogg,912272968,2-ə işləmiş 25 dəqiqə
912272968_437642_437648_39601,../Data/audio/tim/voices/912272968_437642_437648_39601.ogg,912272968,2-nin yarısı
568204248_437970_437971_39586,../Data/audio/tim/voices/568204248_437970_437971_39586.ogg,568204248,11-ə işləmiş 10 dəqiqə
568204248_438668_438677_39503,../Data/audio/tim/voices/568204248_438668_438677_39503.ogg,568204248,2-ə qalmış 10 dəqiqə
568204248_439328_439333_39457,../Data/audio/tim/voices/568204248_439328_439333_39457.ogg,568204248,12-ə 15 dəqiqə işləmiş
619589413_440046_440049_39512,../Data/audio/tim/voices/619589413_440046_440049_39512.ogg,619589413,9-a qalmış 20 dəqiqə
341881303_440316_440321_39425,../Data/audio/tim/voices/341881303_440316_440321_39425.ogg,341881303,6-a 25 dəqiqə işləmiş
568204248_440539_440541_39535,../Data/audio/tim/voices/568204248_440539_440541_39535.ogg,568204248,5-ə qalmış 25 dəqiqə
341881303_440968_440971_39497,../Data/audio/tim/voices/341881303_440968_440971_39497.ogg,341881303,7-ə qalmış 20 dəqiqə
