audio,audio_filepath,speaker,transcript
1150481435_413496_413497_35957,../Data/audio/phn/voices/1150481435_413496_413497_35957.ogg,1150481435,077 7256945
1150481435_413607_413608_35691,../Data/audio/phn/voices/1150481435_413607_413608_35691.ogg,1150481435,055 2181275
1150481435_413617_413618_35902,../Data/audio/phn/voices/1150481435_413617_413618_35902.ogg,1150481435,070 5912116
1150481435_413712_413713_35385,../Data/audio/phn/voices/1150481435_413712_413713_35385.ogg,1150481435,012 2837887
1150481435_413742_413743_36154,../Data/audio/phn/voices/1150481435_413742_413743_36154.ogg,1150481435,099 3775547
1150481435_413799_413800_35460,../Data/audio/phn/voices/1150481435_413799_413800_35460.ogg,1150481435,050 8714535
1150481435_413850_413851_36150,../Data/audio/phn/voices/1150481435_413850_413851_36150.ogg,1150481435,099 6995686
1150481435_413952_413953_35273,../Data/audio/phn/voices/1150481435_413952_413953_35273.ogg,1150481435,010 6143919
910545275_414238_414241_36031,../Data/audio/phn/voices/910545275_414238_414241_36031.ogg,910545275,077 5913813
910545275_414703_414707_35587,../Data/audio/phn/voices/910545275_414703_414707_35587.ogg,910545275,051 1299461
1150481435_414710_414713_35197,../Data/audio/phn/voices/1150481435_414710_414713_35197.ogg,1150481435,010 4337597
1150481435_414754_414755_35544,../Data/audio/phn/voices/1150481435_414754_414755_35544.ogg,1150481435,051 6436766
910545275_414844_414845_35608,../Data/audio/phn/voices/910545275_414844_414845_35608.ogg,910545275,051 1617133
910545275_414875_414876_35301,../Data/audio/phn/voices/910545275_414875_414876_35301.ogg,910545275,012 3137949
910545275_414913_414914_36014,../Data/audio/phn/voices/910545275_414913_414914_36014.ogg,910545275,077 1669473
910545275_414943_414944_35667,../Data/audio/phn/voices/910545275_414943_414944_35667.ogg,910545275,055 8131928
910545275_415001_415002_35812,../Data/audio/phn/voices/910545275_415001_415002_35812.ogg,910545275,070 6432199
910545275_415011_415012_35971,../Data/audio/phn/voices/910545275_415011_415012_35971.ogg,910545275,077 5473646
910545275_415351_415352_35769,../Data/audio/phn/voices/910545275_415351_415352_35769.ogg,910545275,055 6917737
910545275_415477_415478_35679,../Data/audio/phn/voices/910545275_415477_415478_35679.ogg,910545275,055 1687884
910545275_415671_415672_35793,../Data/audio/phn/voices/910545275_415671_415672_35793.ogg,910545275,070 2952423
910545275_415719_415720_35619,../Data/audio/phn/voices/910545275_415719_415720_35619.ogg,910545275,051 7282323
910545275_415847_415848_35507,../Data/audio/phn/voices/910545275_415847_415848_35507.ogg,910545275,050 5671864
1150481435_415903_415904_35210,../Data/audio/phn/voices/1150481435_415903_415904_35210.ogg,1150481435,010 9961537
1150481435_415935_415936_35991,../Data/audio/phn/voices/1150481435_415935_415936_35991.ogg,1150481435,077 7667524
1150481435_415994_415995_36136,../Data/audio/phn/voices/1150481435_415994_415995_36136.ogg,1150481435,099 9758745
1150481435_416056_416057_35291,../Data/audio/phn/voices/1150481435_416056_416057_35291.ogg,1150481435,012 3297552
1150481435_416138_416139_35533,../Data/audio/phn/voices/1150481435_416138_416139_35533.ogg,1150481435,050 7125644
1150481435_416188_416189_35202,../Data/audio/phn/voices/1150481435_416188_416189_35202.ogg,1150481435,010 5938487
1150481435_416196_416197_36124,../Data/audio/phn/voices/1150481435_416196_416197_36124.ogg,1150481435,099 7927161
1150481435_416316_416317_35445,../Data/audio/phn/voices/1150481435_416316_416317_35445.ogg,1150481435,050 4799723
1150481435_416372_416373_36118,../Data/audio/phn/voices/1150481435_416372_416373_36118.ogg,1150481435,099 3761438
1150481435_416382_416383_35996,../Data/audio/phn/voices/1150481435_416382_416383_35996.ogg,1150481435,077 3521163
1150481435_416392_416393_35169,../Data/audio/phn/voices/1150481435_416392_416393_35169.ogg,1150481435,010 2931927
1150481435_416450_416451_35511,../Data/audio/phn/voices/1150481435_416450_416451_35511.ogg,1150481435,050 9234951
1150481435_416502_416503_35327,../Data/audio/phn/voices/1150481435_416502_416503_35327.ogg,1150481435,012 9161232
1150481435_416705_416706_35249,../Data/audio/phn/voices/1150481435_416705_416706_35249.ogg,1150481435,010 7625585
1150481435_416811_416812_36048,../Data/audio/phn/voices/1150481435_416811_416812_36048.ogg,1150481435,099 5687547
1150481435_416831_416832_35933,../Data/audio/phn/voices/1150481435_416831_416832_35933.ogg,1150481435,077 6696124
640339050_417044_417045_35869,../Data/audio/phn/voices/640339050_417044_417045_35869.ogg,640339050,070 2128493
640339050_417144_417145_35484,../Data/audio/phn/voices/640339050_417144_417145_35484.ogg,640339050,050 8262353
575298922_417222_417223_35215,../Data/audio/phn/voices/575298922_417222_417223_35215.ogg,575298922,010 4827382
575298922_417264_417265_35824,../Data/audio/phn/voices/575298922_417264_417265_35824.ogg,575298922,070 4661681
575298922_417290_417291_35836,../Data/audio/phn/voices/575298922_417290_417291_35836.ogg,575298922,070 9645925
575298922_417308_417309_35459,../Data/audio/phn/voices/575298922_417308_417309_35459.ogg,575298922,050 2967836
860296669_417449_417450_35926,../Data/audio/phn/voices/860296669_417449_417450_35926.ogg,860296669,077 7118185
860296669_417463_417464_35203,../Data/audio/phn/voices/860296669_417463_417464_35203.ogg,860296669,010 2878452
954206432_417603_417604_35570,../Data/audio/phn/voices/954206432_417603_417604_35570.ogg,954206432,051 5418181
954206432_417798_417799_36147,../Data/audio/phn/voices/954206432_417798_417799_36147.ogg,954206432,099 7355819
954206432_417828_417829_35695,../Data/audio/phn/voices/954206432_417828_417829_35695.ogg,954206432,055 2823463
860296669_417957_417992_35257,../Data/audio/phn/voices/860296669_417957_417992_35257.ogg,860296669,010 7338424
892642911_418005_418008_35738,../Data/audio/phn/voices/892642911_418005_418008_35738.ogg,892642911,055 7142314
860296669_418078_418079_35457,../Data/audio/phn/voices/860296669_418078_418079_35457.ogg,860296669,050 7222795
892642911_418106_418107_35361,../Data/audio/phn/voices/892642911_418106_418107_35361.ogg,892642911,012 4916223
860296669_418212_418213_36108,../Data/audio/phn/voices/860296669_418212_418213_36108.ogg,860296669,099 4167125
860296669_418216_418217_35868,../Data/audio/phn/voices/860296669_418216_418217_35868.ogg,860296669,070 8242943
860296669_418224_418225_35247,../Data/audio/phn/voices/860296669_418224_418225_35247.ogg,860296669,010 6877823
575298922_418312_418313_35537,../Data/audio/phn/voices/575298922_418312_418313_35537.ogg,575298922,051 6756657
575298922_418318_418319_35687,../Data/audio/phn/voices/575298922_418318_418319_35687.ogg,575298922,055 2437563
575298922_418429_418430_35834,../Data/audio/phn/voices/575298922_418429_418430_35834.ogg,575298922,070 9718845
575298922_418435_418436_36060,../Data/audio/phn/voices/575298922_418435_418436_36060.ogg,575298922,099 9749689
575298922_418475_418476_35665,../Data/audio/phn/voices/575298922_418475_418476_35665.ogg,575298922,055 2571898
575298922_418523_418524_35390,../Data/audio/phn/voices/575298922_418523_418524_35390.ogg,575298922,012 9825377
5028632961_418712_418713_35253,../Data/audio/phn/voices/5028632961_418712_418713_35253.ogg,5028632961,010 9119625
5028632961_418975_418976_35759,../Data/audio/phn/voices/5028632961_418975_418976_35759.ogg,5028632961,055 6357758
5028632961_419086_419087_35955,../Data/audio/phn/voices/5028632961_419086_419087_35955.ogg,5028632961,077 3199396
5028632961_419094_419095_35907,../Data/audio/phn/voices/5028632961_419094_419095_35907.ogg,5028632961,070 5226693
5028632961_419141_419142_35669,../Data/audio/phn/voices/5028632961_419141_419142_35669.ogg,5028632961,055 3172991
5028632961_419155_419156_35927,../Data/audio/phn/voices/5028632961_419155_419156_35927.ogg,5028632961,077 5111776
5028632961_419207_419208_35830,../Data/audio/phn/voices/5028632961_419207_419208_35830.ogg,5028632961,070 6478916
5028632961_419277_419278_35859,../Data/audio/phn/voices/5028632961_419277_419278_35859.ogg,5028632961,070 2613432
